Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKatt,CrdY,CrdR
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,21,2000,36,28,"2,372",26.4,1,3,4,1,0,0,2,0
2,George Abbott,eng ENG,MF,Tottenham,16,2005,1,0,1,0.0,0,0,0,0,0,0,0,0
3,Che Adams,sct SCO,FW,Southampton,26,1996,28,23,"1,992",22.1,5,3,8,5,0,0,1,0
4,Tyler Adams,us USA,MF,Leeds United,23,1999,24,24,"2,156",24.0,0,0,0,0,0,0,6,1
5,Tosin Adarabioyo,eng ENG,DF,Fulham,24,1997,25,23,"2,085",23.2,1,0,1,1,0,0,4,0
6,Nayef Aguerd,ma MAR,DF,West Ham,26,1996,18,17,"1,595",17.7,2,0,2,2,0,0,4,0
7,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,20,2002,8,0,94,1.0,0,0,0,0,0,0,1,0
8,Rayan Aït Nouri,dz ALG,DF,Wolves,21,2001,21,9,"1,076",12.0,1,0,1,1,0,0,4,0
9,Kristoffer Ajer,no NOR,DF,Brentford,24,1998,9,9,763,8.5,0,0,0,0,0,0,0,0
10,Manuel Akanji,ch SUI,DF,Manchester City,27,1995,29,24,"2,287",25.4,0,1,1,0,0,0,2,0
11,Nathan Aké,nl NED,DF,Manchester City,27,1995,26,22,"1,873",20.8,1,0,1,1,0,0,2,0
12,Marc Albrighton,eng ENG,"FW,MF",Leicester City,32,1989,6,1,237,2.6,1,0,1,1,0,0,0,0
13,Thiago Alcántara,es ESP,MF,Liverpool,31,1991,18,14,"1,254",13.9,0,0,0,0,0,0,2,0
14,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,19,2002,18,13,"1,029",11.4,4,2,6,4,0,0,3,0
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,1998,37,34,"2,923",32.5,2,9,11,2,0,0,5,0
16,Alisson Becker,br BRA,GK,Liverpool,29,1992,37,37,"3,330",37.0,0,1,1,0,0,0,1,0
17,Dele Alli,eng ENG,MF,Everton,26,1996,2,0,40,0.4,0,0,0,0,0,0,0,0
18,Miguel Almirón,py PAR,FW,Newcastle Utd,28,1994,34,29,"2,491",27.7,11,2,13,11,0,0,2,0
19,Julián Álvarez,ar ARG,"FW,MF",Manchester City,22,2000,31,13,"1,465",16.3,9,0,9,8,1,1,0,0
20,Daniel Amartey,gh GHA,DF,Leicester City,27,1994,20,18,"1,610",17.9,0,0,0,0,0,0,1,0
21,Samuel Amo-Ameyaw,eng ENG,MF,Southampton,16,2006,1,0,4,0.0,0,0,0,0,0,0,0,0
22,Joachim Andersen,dk DEN,DF,Crystal Palace,26,1996,32,32,"2,782",30.9,1,0,1,1,0,0,8,0
23,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,19,2002,22,3,410,4.6,0,1,1,0,0,0,0,0
24,Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,22,1999,30,11,"1,257",14.0,3,1,4,3,0,0,2,0
25,Michail Antonio,jm JAM,FW,West Ham,32,1990,33,21,"1,829",20.3,5,3,8,5,0,0,2,0
26,Antony,br BRA,FW,Manchester Utd,22,2000,25,23,"1,802",20.0,4,2,6,4,0,0,5,0
27,Cameron Archer,eng ENG,"FW,MF",Aston Villa,21,2001,6,0,49,0.5,0,0,0,0,0,0,0,0
28,Alphonse Areola,fr FRA,GK,West Ham,29,1993,5,2,309,3.4,0,0,0,0,0,0,0,0
29,Joe Aribo,ng NGA,"MF,FW",Southampton,26,1996,21,13,"1,224",13.6,2,0,2,2,0,0,2,0
30,Adam Armstrong,eng ENG,"FW,MF",Southampton,25,1997,30,14,"1,335",14.8,2,1,3,2,0,0,2,0
31,Stuart Armstrong,sct SCO,"MF,FW",Southampton,30,1992,32,14,"1,408",15.6,2,1,3,2,0,0,6,0
32,Kepa Arrizabalaga,es ESP,GK,Chelsea,27,1994,29,29,"2,565",28.5,0,0,0,0,0,0,1,0
33,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33,1989,15,5,554,6.2,1,0,1,1,0,0,1,0
34,Ludwig Augustinsson,se SWE,DF,Aston Villa,28,1994,3,1,77,0.9,0,0,0,0,0,0,1,0
35,Serge Aurier,ci CIV,DF,Nott'ham Forest,29,1992,24,22,"1,943",21.6,1,0,1,1,0,0,2,0
36,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,24,1997,27,17,"1,404",15.6,10,1,11,10,0,0,2,0
37,Yasin Ayari,se SWE,MF,Brighton,18,2003,3,1,67,0.7,0,0,0,0,0,0,0,0
38,André Ayew,gh GHA,"FW,MF",Nott'ham Forest,32,1989,13,1,316,3.5,0,0,0,0,0,1,1,0
39,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,30,1991,38,31,"2,714",30.2,4,3,7,4,0,0,5,0
40,Luke Ayling,eng ENG,DF,Leeds United,30,1991,29,22,"2,054",22.8,2,1,3,2,0,0,3,0
41,César Azpilicueta,es ESP,DF,Chelsea,32,1989,25,16,"1,527",17.0,0,0,0,0,0,0,3,0
42,Benoît Badiashile,fr FRA,DF,Chelsea,21,2001,11,10,905,10.1,1,0,1,1,0,0,2,0
43,Leon Bailey,jm JAM,"FW,MF",Aston Villa,24,1997,33,26,"1,967",21.9,4,4,8,4,0,0,4,0
44,Stefan Bajcetic,es ESP,MF,Liverpool,17,2004,11,6,526,5.8,1,0,1,1,0,0,2,0
45,Dominic Ballard,eng ENG,"FW,MF",Southampton,17,2005,2,0,26,0.3,0,0,0,0,0,0,0,0
46,Patrick Bamford,eng ENG,FW,Leeds United,28,1993,28,18,"1,515",16.8,4,2,6,4,0,2,3,0
47,Shandon Baptiste,gd GRN,MF,Brentford,24,1998,23,4,618,6.9,0,1,1,0,0,0,3,1
48,Harvey Barnes,eng ENG,"FW,MF",Leicester City,24,1997,34,32,"2,711",30.1,13,1,14,13,0,0,3,0
49,Gavin Bazunu,ie IRL,GK,Southampton,20,2002,32,32,"2,880",32.0,0,0,0,0,0,0,0,0
50,Mads Bech Sørensen,dk DEN,"DF,MF",Brentford,23,1999,4,0,21,0.2,0,0,0,0,0,0,0,0
51,Jan Bednarek,pl POL,DF,Southampton,26,1996,20,20,"1,672",18.6,0,0,0,0,0,0,5,0
52,Jan Bednarek,pl POL,DF,Aston Villa,26,1996,3,1,100,1.1,0,0,0,0,0,0,0,0
53,Donny van de Beek,nl NED,MF,Manchester Utd,25,1997,7,2,167,1.9,0,0,0,0,0,0,0,0
54,Asmir Begović,ba BIH,GK,Everton,35,1987,1,1,90,1.0,0,0,0,0,0,0,0,0
55,Armel Bella Kotchap,de GER,DF,Southampton,20,2001,24,24,"1,879",20.9,0,2,2,0,0,0,4,0
56,Saïd Benrahma,dz ALG,"FW,MF",West Ham,26,1995,35,22,"2,069",23.0,6,3,9,2,4,4,0,0
57,Rodrigo Bentancur,uy URU,MF,Tottenham,25,1997,18,17,"1,500",16.7,5,2,7,5,0,0,8,0
58,Daniel Bentley,eng ENG,GK,Wolves,29,1993,2,2,180,2.0,0,0,0,0,0,0,0,0
59,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,19,2002,12,11,892,9.9,0,1,1,0,0,0,2,0
60,Owen Bevan,wls WAL,DF,Bournemouth,18,2003,1,0,9,0.1,0,0,0,0,0,0,0,0
61,Giulian Biancone,fr FRA,DF,Nott'ham Forest,22,2000,2,0,17,0.2,0,0,0,0,0,0,0,0
62,Philip Billing,dk DEN,"MF,FW",Bournemouth,26,1996,36,34,"2,764",30.7,7,1,8,7,0,0,5,0
63,Yves Bissouma,ml MLI,MF,Tottenham,25,1996,23,10,"1,010",11.2,0,0,0,0,0,0,6,0
64,Willy Boly,ci CIV,DF,Nott'ham Forest,31,1991,11,9,685,7.6,0,1,1,0,0,0,2,0
65,Sven Botman,nl NED,DF,Newcastle Utd,22,2000,36,35,"3,127",34.7,0,0,0,0,0,0,2,0
66,Jarrod Bowen,eng ENG,"FW,MF",West Ham,25,1996,38,36,"3,233",35.9,6,5,11,5,1,2,2,0
67,James Bree,eng ENG,DF,Southampton,24,1997,5,4,367,4.1,0,0,0,0,0,0,1,0
68,Armando Broja,al ALB,FW,Chelsea,20,2001,12,2,294,3.3,1,0,1,1,0,0,0,0
69,David Brooks,wls WAL,"FW,MF",Bournemouth,25,1997,6,2,173,1.9,0,0,0,0,0,0,1,0
70,Lewis Brunt,eng ENG,DF,Leicester City,21,2000,1,0,23,0.3,0,0,0,0,0,0,0,0
71,Emi Buendía,ar ARG,"MF,FW",Aston Villa,25,1996,38,27,"2,412",26.8,5,2,7,5,0,0,0,0
72,Hugo Bueno,es ESP,DF,Wolves,19,2002,21,16,"1,310",14.6,0,1,1,0,0,0,1,0
73,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,17,2004,13,6,565,6.3,1,1,2,1,0,0,2,0
74,Dan Burn,eng ENG,DF,Newcastle Utd,30,1992,38,35,"3,111",34.6,1,0,1,1,0,0,5,0
75,Cafú,pt POR,MF,Nott'ham Forest,29,1993,1,0,7,0.1,0,0,0,0,0,0,0,0
76,Moisés Caicedo,ec ECU,MF,Brighton,20,2001,37,34,"3,139",34.9,1,1,2,1,0,0,10,0
77,Tom Cairney,sct SCO,MF,Fulham,31,1991,33,6,988,11.0,2,0,2,2,0,0,2,0
78,Duje Ćaleta-Car,hr CRO,DF,Southampton,25,1996,13,9,946,10.5,1,0,1,1,0,0,2,0
79,Dominic Calvert-Lewin,eng ENG,FW,Everton,25,1997,17,15,"1,165",12.9,2,1,3,1,1,1,3,0
80,Chem Campbell,wls WAL,"FW,MF",Wolves,19,2002,5,0,74,0.8,0,0,0,0,0,0,0,0
81,João Cancelo,pt POR,DF,Manchester City,28,1994,17,16,"1,274",14.2,2,1,3,2,0,0,3,1
82,Thomas Cannon,ie IRL,FW,Everton,19,2002,2,0,25,0.3,0,0,0,0,0,0,0,0
83,Sergi Canós,es ESP,"FW,DF",Brentford,25,1997,5,0,77,0.9,0,0,0,0,0,0,0,0
84,Diego Carlos,br BRA,DF,Aston Villa,29,1993,3,2,205,2.3,0,0,0,0,0,0,0,0
85,Fabio Carvalho,pt POR,"MF,FW",Liverpool,19,2002,13,4,347,3.9,2,0,2,2,0,0,0,0
86,Casemiro,br BRA,MF,Manchester Utd,30,1992,28,24,"2,124",23.6,4,3,7,4,0,0,7,2
87,Matty Cash,pl POL,DF,Aston Villa,24,1997,26,20,"1,820",20.2,0,1,1,0,0,0,4,0
88,Timothy Castagne,be BEL,DF,Leicester City,26,1995,37,36,"3,254",36.2,2,3,5,2,0,0,3,0
89,Jonny Castro,es ESP,DF,Wolves,28,1994,18,14,"1,261",14.0,1,0,1,1,0,0,3,1
90,Julio César Enciso,py PAR,"FW,MF",Brighton,18,2004,20,7,806,9.0,4,2,6,4,0,0,1,0
91,Nathaniel Chalobah,eng ENG,MF,Fulham,27,1994,4,1,12,0.1,0,0,0,0,0,0,0,1
92,Trevoh Chalobah,eng ENG,DF,Chelsea,23,1999,25,18,"1,608",17.9,0,0,0,0,0,0,4,0
93,Calum Chambers,eng ENG,"DF,MF",Aston Villa,27,1995,14,2,353,3.9,0,0,0,0,0,0,2,0
94,Shea Charles,nir NIR,DF,Manchester City,18,2003,1,0,28,0.3,0,0,0,0,0,0,0,0
95,Ben Chilwell,eng ENG,"DF,MF",Chelsea,25,1996,23,15,"1,408",15.6,2,2,4,2,0,0,3,0
96,Ryan Christie,sct SCO,"MF,FW",Bournemouth,27,1995,32,22,"1,834",20.4,1,1,2,1,0,0,2,0
97,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,18,2003,14,2,354,3.9,0,0,0,0,0,0,0,0
98,Bobby Clark,eng ENG,MF,Liverpool,17,2005,1,0,8,0.1,0,0,0,0,0,0,0,0
99,Nathaniel Clyne,eng ENG,DF,Crystal Palace,31,1991,22,19,"1,640",18.2,0,0,0,0,0,0,3,0
100,Conor Coady,eng ENG,DF,Everton,29,1993,24,23,"2,096",23.3,1,1,2,1,0,0,2,0
101,Jack Colback,eng ENG,MF,Nott'ham Forest,32,1989,11,4,497,5.5,0,0,0,0,0,0,0,0
102,Séamus Coleman,ie IRL,DF,Everton,33,1988,23,20,"1,656",18.4,1,0,1,1,0,0,1,0
103,Nathan Collins,ie IRL,DF,Wolves,21,2001,26,19,"1,814",20.2,0,0,0,0,0,0,2,1
104,Levi Colwill,eng ENG,DF,Brighton,19,2003,17,13,"1,220",13.6,0,2,2,0,0,0,1,0
105,Lewis Cook,eng ENG,MF,Bournemouth,25,1997,28,18,"1,720",19.1,0,2,2,0,0,0,4,0
106,Steve Cook,eng ENG,DF,Nott'ham Forest,31,1991,12,11,957,10.6,0,0,0,0,0,0,4,0
107,Liam Cooper,sct SCO,DF,Leeds United,30,1991,18,16,"1,426",15.8,1,0,1,1,0,0,5,0
108,Maxwel Cornet,ci CIV,FW,West Ham,25,1996,14,2,245,2.7,0,0,0,0,0,0,0,0
109,Diego Costa,es ESP,FW,Wolves,33,1988,23,16,"1,241",13.8,1,0,1,1,0,0,5,1
110,Vladimír Coufal,cz CZE,DF,West Ham,29,1992,27,24,"2,136",23.7,0,1,1,0,0,0,5,0
111,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,30,1992,20,7,788,8.8,1,0,1,1,0,0,3,0
112,Conor Coventry,ie IRL,"MF,FW",West Ham,22,2000,1,0,1,0.0,0,0,0,0,0,0,0,0
113,Matthew Craig,sct SCO,MF,Tottenham,19,2003,1,0,14,0.2,0,0,0,0,0,0,0,0
114,Aaron Cresswell,eng ENG,DF,West Ham,32,1989,28,24,"2,235",24.8,0,1,1,0,0,0,3,0
115,Marc Cucurella,es ESP,DF,Chelsea,24,1998,24,21,"1,671",18.6,0,2,2,0,0,0,4,0
116,Matheus Cunha,br BRA,FW,Wolves,23,1999,17,12,965,10.7,2,0,2,2,0,0,1,0
117,Patson Daka,zm ZAM,FW,Leicester City,23,1998,30,13,"1,187",13.2,4,4,8,4,0,0,2,0
118,Diogo Dalot,pt POR,DF,Manchester Utd,23,1999,26,24,"2,154",23.9,1,2,3,1,0,0,6,0
119,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,22,2000,26,9,988,11.0,0,0,0,0,0,0,4,0
120,Danilo,br BRA,MF,Nott'ham Forest,21,2001,13,12,976,10.8,3,2,5,3,0,0,1,0
121,Arnaut Danjuma,nl NED,"FW,MF",Tottenham,25,1997,9,1,169,1.9,1,0,1,1,0,0,0,0
122,Josh Dasilva,eng ENG,MF,Brentford,23,1998,36,14,"1,389",15.4,4,2,6,4,0,0,1,0
123,David Datro Fofana,ci CIV,FW,Chelsea,19,2002,3,1,70,0.8,0,0,0,0,0,0,0,0
124,Ben Davies,wls WAL,DF,Tottenham,29,1993,31,26,"2,288",25.4,2,2,4,2,0,0,4,0
125,Tom Davies,eng ENG,MF,Everton,24,1998,19,4,538,6.0,0,0,0,0,0,0,3,0
126,Craig Dawson,eng ENG,DF,West Ham,32,1990,8,8,720,8.0,0,0,0,0,0,0,2,0
127,Craig Dawson,eng ENG,DF,Wolves,32,1990,17,17,"1,414",15.7,1,0,1,1,0,0,4,0
128,Kevin De Bruyne,be BEL,MF,Manchester City,31,1991,32,28,"2,417",26.9,7,16,23,7,0,0,1,0
129,Siriki Dembélé,ci CIV,"FW,MF",Bournemouth,25,1996,6,0,110,1.2,0,0,0,0,0,0,0,0
130,Leander Dendoncker,be BEL,MF,Aston Villa,27,1995,20,7,697,7.7,0,0,0,0,0,0,0,0
131,Leander Dendoncker,be BEL,MF,Wolves,27,1995,4,2,214,2.4,0,0,0,0,0,0,0,0
132,Emmanuel Dennis,ng NGA,"FW,MF",Nott'ham Forest,24,1997,19,6,720,8.0,2,2,4,2,0,0,3,0
133,Halil Dervişoğlu,tr TUR,MF,Brentford,22,1999,1,0,8,0.1,0,0,0,0,0,0,0,0
134,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,23,1998,31,28,"2,306",25.6,2,2,4,2,0,0,5,1
135,Ibrahima Diallo,fr FRA,MF,Southampton,23,1999,18,11,819,9.1,0,0,0,0,0,0,4,0
136,Rúben Dias,pt POR,DF,Manchester City,25,1997,26,22,"1,998",22.2,0,0,0,0,0,0,3,0
137,Luis Díaz,co COL,FW,Liverpool,25,1997,17,11,996,11.1,4,2,6,4,0,0,2,0
138,Eric Dier,eng ENG,DF,Tottenham,28,1994,33,31,"2,818",31.3,2,1,3,2,0,0,3,0
139,Lucas Digne,fr FRA,DF,Aston Villa,29,1993,28,18,"1,502",16.7,1,0,1,1,0,0,5,0
140,Issa Diop,fr FRA,DF,Fulham,25,1997,25,21,"2,012",22.4,1,0,1,1,0,0,2,0
141,Moussa Djenepo,ml MLI,"DF,FW",Southampton,24,1998,16,7,710,7.9,0,2,2,0,0,0,1,0
142,Ben Doak,sct SCO,FW,Liverpool,16,2005,2,0,26,0.3,0,0,0,0,0,0,0,0
143,Matt Doherty,ie IRL,"DF,MF",Tottenham,30,1992,12,7,667,7.4,1,0,1,1,0,0,0,0
144,Gabriel Dos Santos,br BRA,DF,Arsenal,24,1997,38,38,"3,409",37.9,3,0,3,3,0,0,5,0
145,Abdoulaye Doucouré,ml MLI,MF,Everton,29,1993,25,17,"1,533",17.0,5,2,7,5,0,0,6,1
146,Cheick Doucouré,ml MLI,MF,Crystal Palace,22,2000,34,34,"2,769",30.8,0,3,3,0,0,0,10,1
147,Flynn Downes,eng ENG,MF,West Ham,23,1999,21,7,762,8.5,0,0,0,0,0,0,2,0
148,Kami Doyle,eng ENG,MF,Southampton,16,2005,1,0,7,0.1,0,0,0,0,0,0,0,0
149,Cody Drameh,eng ENG,DF,Leeds United,20,2001,1,1,69,0.8,0,0,0,0,0,0,0,0
150,Martin Dúbravka,sk SVK,GK,Newcastle Utd,33,1989,2,1,157,1.7,0,0,0,0,0,0,0,0
151,Shane Duffy,ie IRL,"DF,FW",Fulham,30,1992,5,0,20,0.2,0,0,0,0,0,0,0,0
152,Lewis Dunk,eng ENG,DF,Brighton,30,1991,36,36,"3,239",36.0,1,0,1,1,0,0,4,0
153,Jhon Durán,co COL,"FW,MF",Aston Villa,18,2003,12,0,136,1.5,0,0,0,0,0,0,1,0
154,Malcolm Ebiowei,eng ENG,"MF,FW",Crystal Palace,18,2003,3,0,34,0.4,0,0,0,0,0,0,0,0
155,Ederson,br BRA,GK,Manchester City,28,1993,35,35,"3,150",35.0,0,1,1,0,0,0,3,0
156,Odsonne Édouard,fr FRA,FW,Crystal Palace,24,1998,35,20,"1,803",20.0,5,2,7,5,0,0,3,0
157,Samuel Edozie,eng ENG,"FW,MF",Southampton,19,2003,17,5,567,6.3,0,0,0,0,0,0,0,0
158,Anthony Elanga,se SWE,FW,Manchester Utd,20,2002,16,5,426,4.7,0,1,1,0,0,0,0,0
159,Harvey Elliott,eng ENG,"MF,FW",Liverpool,19,2003,32,18,"1,613",17.9,1,2,3,1,0,0,2,0
160,Mohamed Elneny,eg EGY,MF,Arsenal,30,1992,5,1,113,1.3,0,0,0,0,0,0,0,0
