Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKatt,CrdY,CrdR
254,Brennan Johnson,wls WAL,"FW,MF",Nott'ham Forest,21,2001,38,33,"2,934",32.6,8,3,11,7,1,3,6,0
255,Sam Johnstone,eng ENG,GK,Crystal Palace,29,1993,9,9,810,9.0,0,0,0,0,0,0,1,0
256,Curtis Jones,eng ENG,MF,Liverpool,21,2001,18,12,"1,035",11.5,3,1,4,3,0,0,2,0
257,Jorginho,it ITA,MF,Arsenal,30,1991,14,9,855,9.5,0,1,1,0,0,0,0,0
258,Jorginho,it ITA,MF,Chelsea,30,1991,18,15,"1,279",14.2,2,0,2,0,2,2,4,0
259,Mateo Joseph,eng ENG,"FW,MF",Leeds United,18,2003,3,0,26,0.3,0,0,0,0,0,0,0,0
260,Diogo Jota,pt POR,FW,Liverpool,25,1996,22,12,"1,131",12.6,7,4,11,7,0,0,2,0
261,Hamed Junior Traorè,ci CIV,"FW,MF",Bournemouth,22,2000,7,5,427,4.7,0,0,0,0,0,0,0,0
262,James Justin,eng ENG,DF,Leicester City,24,1998,14,14,"1,252",13.9,0,0,0,0,0,0,0,0
263,Mathias Jørgensen,dk DEN,DF,Brentford,32,1990,18,11,"1,103",12.3,0,0,0,0,0,0,2,0
264,Sasa Kalajdzic,at AUT,FW,Wolves,25,1997,1,1,45,0.5,0,0,0,0,0,0,0,0
265,Boubacar Kamara,fr FRA,MF,Aston Villa,22,1999,24,21,"1,777",19.7,0,1,1,0,0,0,4,0
266,Harry Kane,eng ENG,FW,Tottenham,29,1993,38,38,"3,405",37.8,30,3,33,25,5,6,6,0
267,N'Golo Kanté,fr FRA,MF,Chelsea,31,1991,7,6,518,5.8,0,1,1,0,0,0,1,0
268,Michael Keane,eng ENG,DF,Everton,29,1993,12,10,985,10.9,1,2,3,1,0,0,0,0
269,Neeskens Kebano,cd COD,FW,Fulham,30,1992,17,9,764,8.5,0,3,3,0,0,0,0,0
270,Thilo Kehrer,de GER,DF,West Ham,25,1996,27,25,"2,230",24.8,0,2,2,0,0,0,4,0
271,Naby Keïta,gn GUI,MF,Liverpool,27,1995,8,3,293,3.3,0,0,0,0,0,0,1,0
272,Caoimhín Kelleher,ie IRL,GK,Liverpool,23,1998,1,1,90,1.0,0,0,0,0,0,0,0,0
273,Lloyd Kelly,eng ENG,DF,Bournemouth,23,1998,23,23,"2,040",22.7,0,2,2,0,0,0,3,0
274,Max Kilman,eng ENG,DF,Wolves,25,1997,37,37,"3,307",36.7,0,0,0,0,0,0,3,0
275,Jakub Kiwior,pl POL,DF,Arsenal,22,2000,7,5,427,4.7,1,0,1,1,0,0,0,0
276,Mateusz Klich,pl POL,"MF,FW",Leeds United,32,1990,14,0,280,3.1,0,0,0,0,0,0,2,0
277,Robin Koch,de GER,DF,Leeds United,26,1996,36,36,"3,175",35.3,0,0,0,0,0,0,7,0
278,Ibrahima Konaté,fr FRA,DF,Liverpool,23,1999,18,17,"1,552",17.2,0,0,0,0,0,0,5,0
279,Ezri Konsa,eng ENG,DF,Aston Villa,24,1997,38,37,"3,322",36.9,0,0,0,0,0,0,6,0
280,Kalidou Koulibaly,sn SEN,DF,Chelsea,31,1991,23,20,"1,800",20.0,2,1,3,2,0,0,7,1
281,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,32,1989,21,10,882,9.8,1,0,1,1,0,0,3,0
282,Mateo Kovačić,hr CRO,MF,Chelsea,28,1994,27,17,"1,707",19.0,1,2,3,1,0,0,8,0
283,Emil Krafth,se SWE,DF,Newcastle Utd,27,1994,1,0,1,0.0,0,0,0,0,0,0,0,0
284,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,22,2000,30,23,"2,067",23.0,2,7,9,2,0,0,2,0
285,Layvin Kurzawa,fr FRA,DF,Fulham,29,1992,3,2,135,1.5,0,0,0,0,0,0,1,0
286,Adam Lallana,eng ENG,"MF,FW",Brighton,34,1988,16,12,722,8.0,2,1,3,2,0,0,0,0
287,Tariq Lamptey,gh GHA,DF,Brighton,21,2000,20,3,453,5.0,0,0,0,0,0,0,1,0
288,Manuel Lanzini,ar ARG,"MF,FW",West Ham,29,1993,10,2,252,2.8,1,0,1,1,0,0,0,0
289,Aymeric Laporte,es ESP,DF,Manchester City,28,1994,12,11,993,11.0,0,0,0,0,0,0,0,0
290,Juan Larios,es ESP,DF,Southampton,18,2004,5,2,152,1.7,0,0,0,0,0,0,0,0
291,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,28,1993,7,2,218,2.4,0,0,0,0,0,0,4,0
292,Roméo Lavia,be BEL,MF,Southampton,18,2004,29,26,"2,221",24.7,1,0,1,1,0,0,9,0
293,Dexter Lembikisa,jm JAM,DF,Wolves,18,2003,1,0,23,0.3,0,0,0,0,0,0,0,0
294,Mario Lemina,ga GAB,MF,Wolves,28,1993,19,17,"1,299",14.4,0,1,1,0,0,0,4,1
295,Clément Lenglet,fr FRA,DF,Tottenham,27,1995,26,24,"2,019",22.4,0,2,2,0,0,0,4,0
296,Bernd Leno,de GER,GK,Fulham,30,1992,36,36,"3,240",36.0,0,0,0,0,0,0,3,0
297,Jefferson Lerma,co COL,MF,Bournemouth,27,1994,37,37,"3,252",36.1,5,0,5,5,0,0,7,0
298,Jamal Lewis,nir NIR,"DF,FW",Newcastle Utd,24,1998,2,0,11,0.1,0,0,0,0,0,0,0,0
299,Rico Lewis,eng ENG,"DF,MF",Manchester City,17,2004,14,10,903,10.0,0,0,0,0,0,0,1,0
300,Keane Lewis-Potter,eng ENG,"FW,MF",Brentford,21,2001,10,3,321,3.6,0,1,1,0,0,0,0,0
301,Victor Lindelöf,se SWE,DF,Manchester Utd,28,1994,20,14,"1,365",15.2,0,0,0,0,0,0,1,0
